date,trades,net_pnl,cumulative_pnl,capital
2021-10-26,9,-5.046806796301168e-35,-99999.99999999978,4.025015508744714e-34
2021-10-27,4,-2.0846994744008183e-35,-99999.99999999978,3.8165455613046314e-34
2021-10-28,4,-2.0771551826257775e-35,-99999.99999999978,3.6088300430420537e-34
2021-10-29,2,-1.0228241821031954e-35,-99999.99999999978,3.506547624831734e-34
2021-11-01,2,-9.583580186858962e-36,-99999.99999999978,3.4107118229631445e-34
2021-11-02,2,-8.794183634460706e-36,-99999.99999999978,3.3227699866185375e-34
2021-11-03,2,-8.541126795055246e-36,-99999.99999999978,3.2373587186679853e-34
2021-11-04,3,-1.22424895370301e-35,-99999.99999999978,3.1149338232976847e-34
2021-11-08,8,7.102922027244536e-35,-99999.99999999978,3.8252260260221383e-34
2021-11-09,1,-5.474779325375041e-36,-99999.99999999978,3.770478232768388e-34
2021-11-11,2,6.16650561122225e-36,-99999.99999999978,3.8321432888806102e-34
2021-11-12,5,-2.4202969140806034e-35,-99999.99999999978,3.5901135974725505e-34
2021-11-15,8,2.343616692651638e-36,-99999.99999999978,3.613549764399067e-34
2021-11-16,1,-5.188926714591625e-36,-99999.99999999978,3.5616604972531506e-34
2021-11-17,2,-8.895285849799115e-36,-99999.99999999978,3.472707638755159e-34
2021-11-18,7,-2.0362366489524918e-35,-99999.99999999978,3.26908397385991e-34
2021-11-19,6,-2.4353724531828833e-35,-99999.99999999978,3.025546728541621e-34
2021-11-22,9,-3.180181182241544e-35,-99999.99999999978,2.707528610317467e-34
2021-11-23,8,1.633598565574408e-35,-99999.99999999978,2.870888466874909e-34
2021-11-24,9,-2.431536869544771e-35,-99999.99999999978,2.627734779920431e-34
2021-11-25,1,-3.153799148284409e-36,-99999.99999999978,2.596196788437587e-34
2021-11-26,17,-5.027955485394463e-35,-99999.99999999978,2.093401239898141e-34
2021-11-29,18,-4.446624428075213e-35,-99999.99999999978,1.6487387970906202e-34
2021-11-30,12,-2.4714513616386415e-35,-99999.99999999978,1.4015936609267563e-34
2021-12-01,8,-1.1520290700246071e-36,-99999.99999999978,1.39007337022651e-34
2021-12-02,4,-7.429712760540721e-36,-99999.99999999978,1.3157762426211025e-34
2021-12-03,2,-3.483359332920815e-36,-99999.99999999978,1.2809426492918943e-34
2021-12-06,1,-1.6813828503686044e-36,-99999.99999999978,1.2641288207882083e-34
2021-12-07,6,-9.931549143266375e-36,-99999.99999999978,1.1648133293555444e-34
2021-12-08,3,-4.723828090453481e-36,-99999.99999999978,1.1175750484510096e-34
2021-12-09,2,-2.9743892162210505e-36,-99999.99999999978,1.0878311562887992e-34
2021-12-13,1,-1.3992268838479455e-36,-99999.99999999978,1.0738388874503198e-34
2021-12-14,2,-2.9770866705774658e-36,-99999.99999999978,1.0440680207445451e-34
2021-12-15,7,9.403793331247375e-36,-99999.99999999978,1.138105954057019e-34
2021-12-16,9,-1.3392386515514138e-35,-99999.99999999978,1.0041820889018775e-34
2021-12-17,2,-6.8985261476442845e-37,-99999.99999999978,9.972835627542332e-35
2021-12-20,11,-4.013843979948984e-36,-99999.99999999978,9.571451229547438e-35
2021-12-21,7,-2.177433400767352e-36,-99999.99999999978,9.353707889470703e-35
2021-12-22,2,-2.386553312039583e-36,-99999.99999999978,9.115052558266745e-35
2021-12-23,5,6.014184866211306e-36,-99999.99999999978,9.716471044887874e-35
2021-12-27,2,5.4619986876039074e-36,-99999.99999999978,1.0262670913648267e-34
2021-12-28,2,-2.7228553619095965e-36,-99999.99999999978,9.990385377457305e-35
2021-12-29,2,-2.5949887425607997e-36,-99999.99999999978,9.730886503201225e-35
2021-12-30,1,-1.039759520475159e-36,-99999.99999999978,9.626910551153709e-35
2022-01-03,12,9.370281063105628e-36,-99999.99999999978,1.0563938657464271e-34
2022-01-04,9,1.7567780448099075e-35,-99999.99999999978,1.2320716702274177e-34
2022-01-07,17,-1.0088055540288696e-35,-99999.99999999978,1.1311911148245306e-34
2022-01-10,3,1.5570737324038167e-35,-99999.99999999978,1.2868984880649123e-34
2022-01-11,18,-2.444277223234177e-35,-99999.99999999978,1.0424707657414947e-34
2022-01-12,7,-8.931869437436796e-36,-99999.99999999978,9.531520713671266e-35
2022-01-13,7,-8.301672001158074e-36,-99999.99999999978,8.701353513555459e-35
2022-01-14,8,-7.782334227821879e-36,-99999.99999999978,7.923120090773272e-35
2022-01-17,11,1.7089632847136366e-36,-99999.99999999978,8.094016419244636e-35
2022-01-18,6,4.120314916531027e-37,-99999.99999999978,8.135219568409945e-35
2022-01-19,10,-1.8452469968359543e-36,-99999.99999999978,7.950694868726349e-35
2022-01-20,5,-4.896078638090148e-36,-99999.99999999978,7.461087004917335e-35
2022-01-21,6,-3.8323536711726875e-36,-99999.99999999978,7.077851637800066e-35
2022-01-24,7,3.302088028207802e-36,-99999.99999999978,7.408060440620846e-35
2022-01-25,13,-9.91502333322235e-36,-99999.99999999978,6.416558107298611e-35
2022-01-26,5,-2.1415356037718045e-36,-99999.99999999978,6.202404546921432e-35
2022-01-27,5,1.4086448714512203e-36,-99999.99999999978,6.343269034066554e-35
2022-01-28,6,-5.207234570376901e-36,-99999.99999999978,5.822545577028864e-35
2022-01-31,10,-4.324338586582838e-36,-99999.99999999978,5.390111718370581e-35
2022-02-01,7,-5.047592651290106e-36,-99999.99999999978,4.88535245324157e-35
2022-02-02,8,-5.180035555944256e-36,-99999.99999999978,4.3673488976471456e-35
