date,ticker,direction,entry_price,stop_price,exit_price,exit_type,shares,gross_pnl,costs,net_pnl,capital_after
2021-11-18,SANDVIK_min,short,234.3,234.6557142857143,234.6557142857143,stop,5.9370323298765866e-36,-2.1118872144847515e-36,1.6705231421967917e-36,-3.782410356681543e-36,3.4397925836583955e-34
2021-11-18,ESSITY_5_min,long,303.6,303.1153571428572,303.1153571428572,stop,4.532006039075619e-36,-2.1964043553661707e-36,1.64978259754281e-36,-3.8461869529089805e-36,3.4013307141293056e-34
2021-11-18,ABB_5_min,long,316.8,316.32928571428573,316.32928571428573,stop,4.294609487537002e-36,-2.0215340373477493e-36,1.631425822359658e-36,-3.6529598597074074e-36,3.3648011155322315e-34
2021-11-18,HUSQVARNA_5_min,long,138.0,137.66910714285714,137.66910714285714,stop,9.753046711687627e-36,-3.227213492278062e-36,1.613168207360104e-36,-4.840381699638166e-36,3.3163972985358496e-34
2021-11-18,HM_5_min,short,166.28,166.67328571428573,166.67328571428573,stop,7.977862156689559e-36,-3.1375792167667036e-36,1.5937532508272677e-36,-4.731332467593971e-36,3.26908397385991e-34
2021-11-19,ATLAS_5_min,short,121.72500001,121.932589293,121.932589293,stop,1.0742522813198101e-35,-2.2300326084029832e-36,1.5704983270177987e-36,-3.800530935420782e-36,3.231078664505702e-34
2021-11-19,NORDEA_5_min,long,110.12,109.94535714285715,109.94535714285715,stop,1.1736573427191071e-35,-2.049708716391578e-36,1.549687933732902e-36,-3.59939665012448e-36,3.195084698004457e-34
2021-11-19,SEB_5_MIN,short,136.4,136.64285714285714,136.64285714285714,stop,9.369749847520402e-36,-2.2755106772548633e-36,1.535005961448492e-36,-3.8105166387033554e-36,3.1569795316174234e-34
2021-11-19,HUSQVARNA_5_min,long,135.75,135.40660714285715,135.40660714285715,stop,9.193492135755685e-36,-3.156979531617424e-36,1.4957256811956304e-36,-4.652705212813054e-36,3.1104524794892928e-34
2021-11-19,SKF_5_min,long,219.6,219.1192857142857,219.1192857142857,stop,5.665669361546982e-36,-2.723568200229447e-36,1.4913830492347229e-36,-4.21495124946417e-36,3.068302966994651e-34
2021-11-19,BOLIDEN_5_min,long,290.993288,290.3283464714286,290.3283464714286,stop,4.217695862448417e-36,-2.804521133825857e-36,1.4711027114771372e-36,-4.275623845302994e-36,3.025546728541621e-34
2021-11-22,ALFA_LAVAL_5_MIN,long,379.5,378.7675,378.7675,stop,3.1889820590689025e-36,-2.3359293582680217e-36,1.4508608720850173e-36,-3.786790230353039e-36,2.987678826238091e-34
2021-11-22,ESSITY_5_min,long,306.4,305.9085714285714,305.9085714285714,stop,3.90036400292179e-36,-1.9167503100072785e-36,1.4329357864082793e-36,-3.349686096415558e-36,2.9541819652739355e-34
2021-11-22,HANDELSBANKEN_5_min,long,113.9,113.71214285714287,113.71214285714287,stop,1.037465132668634e-35,-1.948952356370338e-36,1.4168379719176668e-36,-3.365790328288005e-36,2.9205240619910554e-34
2021-11-22,SANDVIK_min,long,237.0,236.6025,236.6025,stop,4.929154535006001e-36,-1.9593389276649246e-36,1.4006759463991075e-36,-3.360014874064032e-36,2.8869239132504152e-34
2021-11-22,SEB_5_MIN,long,136.5,136.24678571428572,136.24678571428572,stop,8.459850295239311e-36,-2.1421549497587523e-36,1.3844381853903438e-36,-3.526593135149096e-36,2.8516579818989243e-34
2021-11-22,SKF_5_min,long,214.1,213.58607142857142,213.58607142857142,stop,5.327712250161465e-36,-2.7380635457080222e-36,1.3671529931840586e-36,-4.105216538892081e-36,2.8106058165100035e-34
2021-11-22,HM_5_min,long,162.9,162.49214285714285,162.49214285714285,stop,6.89115261491051e-36,-2.8106058165100035e-36,1.3453961496728003e-36,-4.1560019661828035e-36,2.7690457968481754e-34
2021-11-22,VOLVO_5_MIN,long,211.25,210.9397857142857,210.9397857142857,stop,5.2431636390024625e-36,-1.6265042631563132e-36,1.3281660799292303e-36,-2.9546703430855435e-36,2.73949909341732e-34
2021-11-22,ERICSSON_5_MIN,short,93.42,93.58035714285714,93.58035714285714,stop,1.1729818426107129e-35,-1.8809601690435397e-36,1.3160881409417395e-36,-3.197048309985279e-36,2.707528610317467e-34
2021-11-23,ALFA_LAVAL_5_MIN,short,373.8,374.50607142857143,374.50607142857143,stop,2.8973018836998044e-36,-2.0457020800265864e-36,1.3008411542004e-36,-3.346543234226987e-36,2.6740631779751975e-34
2021-11-23,ATLAS_5_min,short,122.72500001,122.93535715028571,120.42500018,eod,8.715626572441823e-36,2.0045939634959713e-35,1.2715227616471189e-36,1.8774416873312593e-35,2.8618073467083236e-34
2021-11-23,ERICSSON_5_MIN,long,92.45,92.25828571428572,92.25828571428572,stop,1.23820761350279e-35,-2.3738208818867503e-36,1.3722432338908632e-36,-3.7460641157776137e-36,2.8243467055505476e-34
2021-11-23,GETINGE_5_min,short,397.3,398.6410714285714,387.3,eod,2.1060374901575602e-36,2.10603749015756e-35,9.91438208866573e-37,2.0068936692709028e-35,3.025036072477638e-34
2021-11-23,SANDVIK_min,short,236.0,236.4307142857143,236.4307142857143,stop,5.1271797838604036e-36,-2.2083495783341703e-36,1.4533423245362667e-36,-3.661691902870437e-36,2.9884191534489338e-34
2021-11-23,SKF_5_min,long,212.3,211.79535714285714,211.79535714285714,stop,5.6305589325462714e-36,-2.841421347031454e-36,1.4327363408472692e-36,-4.2741576878787235e-36,2.9456775765701463e-34
2021-11-23,ASSA_5_min,short,268.0,268.43857142857144,268.43857142857144,stop,4.3965336963733526e-36,-1.928194063980916e-36,1.4150821531920587e-36,-3.3432762171729745e-36,2.9122448143984167e-34
2021-11-23,KINNEVIK_5_min,short,276.0201147,276.8097120702143,276.8097120702143,stop,3.688265594917247e-36,-2.9122448143984166e-36,1.2233899379523859e-36,-4.1356347523508026e-36,2.870888466874909e-34
2021-11-24,BOLIDEN_5_min,short,290.621292,291.3181188285714,291.3181188285714,stop,3.951380777530793e-36,-2.7534281356849e-36,1.3796785209813672e-36,-4.1331066566662675e-36,2.8295574003082463e-34
2021-11-24,ERICSSON_5_MIN,long,93.6,93.40414285714286,93.40414285714286,stop,1.2092125642342935e-35,-2.3683291793787984e-36,1.3567665546403311e-36,-3.7250957340191295e-36,2.792306442968055e-34
2021-11-24,GETINGE_5_min,long,388.8,387.3696428571429,387.3696428571429,stop,1.9521742922123864e-36,-2.792306442968055e-36,9.0913105390883e-37,-3.701437496876885e-36,2.755292067999286e-34
2021-11-24,KINNEVIK_5_min,long,273.76034895,272.8947412772857,272.8947412772857,stop,3.18307260304135e-36,-2.755292067999286e-36,1.044025704609342e-36,-3.799317772608628e-36,2.7172988902731997e-34
2021-11-24,SEB_5_MIN,long,137.7,137.44375,137.44375,stop,7.89338820703907e-36,-2.0226807280537168e-36,1.3030898588943033e-36,-3.32577058694802e-36,2.6840411844037194e-34
2021-11-24,SKF_5_min,long,214.4,213.91607142857143,213.91607142857143,stop,5.007539523141267e-36,-2.4232914478058958e-36,1.2868857936451015e-36,-3.7101772414509973e-36,2.6469394119892094e-34
2021-11-24,ABB_5_min,short,322.0,322.4535714285714,320.9,eod,3.2881234931542976e-36,3.616935842469802e-36,1.2683607562493385e-36,2.3485750862204635e-36,2.670425162851414e-34
2021-11-24,ASSA_5_min,short,266.3,266.7507142857143,266.1,eod,4.011153079761793e-36,8.02230615952313e-37,1.281322739799107e-36,-4.79092123846794e-37,2.665634241612946e-34
2021-11-24,HM_5_min,short,167.72,168.19785714285715,168.19785714285715,stop,5.578307829982203e-36,-2.665634241612946e-36,1.1243119276385058e-36,-3.789946169251452e-36,2.627734779920431e-34
2021-11-25,HANDELSBANKEN_5_min,long,112.6,112.39714285714285,112.39714285714285,stop,9.334759431333681e-36,-1.8936226274991014e-36,1.2601765207853073e-36,-3.153799148284409e-36,2.596196788437587e-34
2021-11-26,ASSA_5_min,short,256.8,257.2192857142857,257.2192857142857,stop,4.043920231211194e-36,-1.6955579826578047e-36,1.2471917932396364e-36,-2.942749775897441e-36,2.5667692906786125e-34
2021-11-26,BOLIDEN_5_min,short,281.042415,281.73259905714286,281.73259905714286,stop,3.653212687741261e-36,-2.5213891544310282e-36,1.2335620930183924e-36,-3.754951247449421e-36,2.529219778204118e-34
2021-11-26,ESSITY_5_min,short,295.2,295.7003571428571,295.7003571428571,stop,3.427127070737288e-36,-1.714787509322422e-36,1.2150543660435701e-36,-2.9298418753659923e-36,2.499921359450458e-34
2021-11-26,GETINGE_5_min,long,377.5,375.99,375.99,stop,1.655577059238724e-36,-2.4999213594504582e-36,7.484764550194717e-37,-3.2483978144699296e-36,2.4674373813057588e-34
2021-11-26,HANDELSBANKEN_5_min,short,108.5,108.70285714285714,108.70285714285714,stop,9.096543341219387e-36,-1.8452987920759166e-36,1.1854771223020096e-36,-3.030775914377926e-36,2.4371296221619797e-34
2021-11-26,HM_5_min,short,158.54,159.0242857142857,159.0242857142857,stop,5.032421048712157e-36,-2.43712962216198e-36,9.588703174486876e-37,-3.395999939610667e-36,2.403169622765873e-34
2021-11-26,HUSQVARNA_5_min,long,132.05,131.71482142857144,131.71482142857144,stop,7.169818799940811e-36,-2.403169622765873e-36,1.1346875852649615e-36,-3.537857208030835e-36,2.3677910506855648e-34
2021-11-26,INVESTOR_5_MIN,short,205.5,205.91142857142856,205.91142857142856,stop,4.608839028098423e-36,-1.8962080572747206e-36,1.1376774291634358e-36,-3.033885486438156e-36,2.3374521958211833e-34
2021-11-26,NORDEA_5_min,short,106.04,106.21407142857143,106.21407142857143,stop,8.817247060811705e-36,-1.534830791942677e-36,1.1228979524693334e-36,-2.6577287444120105e-36,2.310874908377063e-34
2021-11-26,SANDVIK_min,short,227.1,227.53857142857143,227.53857142857143,stop,4.0702332159877823e-36,-1.785087996154671e-36,1.1102910088186832e-36,-2.895379004973354e-36,2.2819211183273298e-34
2021-11-26,SEB_5_MIN,short,132.85,133.0880357142857,133.0880357142857,stop,6.870669532035619e-36,-1.6354647296791004e-36,1.0963034156349257e-36,-2.731768145314026e-36,2.2546034368741893e-34
2021-11-26,SKF_5_min,short,208.9,209.40107142857144,209.40107142857144,stop,4.317096097413479e-36,-2.163173508811142e-36,1.0835075538048973e-36,-3.246681062616039e-36,2.222136626248029e-34
2021-11-26,SWEDBANK_5_MIN,short,187.66,187.88214285714287,187.88214285714287,stop,4.736516308745666e-36,-1.0521832657285639e-36,1.067256890558491e-36,-2.119440156287055e-36,2.2009422246851586e-34
2021-11-26,VOLVO_5_MIN,short,197.5,197.825,197.825,stop,4.4576045056914605e-36,-1.448721464349674e-36,1.057321500727486e-36,-2.5060429650771602e-36,2.175881795034387e-34
2021-11-26,ATLAS_5_min,short,117.50000007,117.74625006771429,117.74625006771429,stop,7.407257170172313e-36,-1.8240370612240676e-36,1.0455176838532402e-36,-2.8695547450773077e-36,2.147186247583614e-34
