date,ticker,direction,entry_price,stop_price,take_profit_price,exit_price,exit_type,atr_multiplier,shares,gross_pnl,costs,net_pnl,capital_after
2010-07-14,GETINGE_5_min,long,166.879687,162.7115674285714,175.21592614285714,166.978258,eod,1.0,246.40581425607098,24.288467517040363,49.35872327015013,-25.070255753109766,102679.81943569929
2010-07-15,GETINGE_5_min,short,162.838301,166.9219317142857,154.6710395714286,163.035442,eod,1.0,251.4424702422186,-49.56962002601815,49.16309935619873,-98.73271938221689,102581.08671631708
2010-08-09,GETINGE_5_min,long,159.979759,157.2620322142857,165.41521257142858,159.486907,eod,1.0,377.45179999525243,-186.02787453125984,72.34996087210926,-258.3778354033691,102322.7088809137
2010-08-11,GETINGE_5_min,short,156.825506,159.20527707142855,152.06596385714286,155.051239,eod,1.0,429.96870627345646,762.8792865736784,80.45834433865599,682.4209422350225,103005.12982314873
2010-08-17,GETINGE_5_min,long,157.81121,155.2835832857143,162.8664634285714,158.599774,eod,1.0,407.5171750677497,321.35337364012827,77.36574621605216,243.9876274240761,103249.11745057281
2010-08-23,GETINGE_5_min,short,156.924077,159.39537785714288,151.98147528571428,155.938373,eod,1.0,417.7925854399687,411.81982263851825,78.42696712354976,333.39285551496846,103582.51030608777
2010-08-26,GETINGE_5_min,short,148.644163,151.7913752142857,142.3497385714286,148.249882,eod,1.0,329.1246450935534,129.76759419212414,58.62908831460867,71.13850587751546,103653.6488119653
2010-08-30,GETINGE_5_min,long,149.137015,145.80674342857142,155.79755814285713,147.95417,eod,1.0,311.24683554711294,-368.1567631927205,55.48121472011514,-423.63797791283565,103230.01083405246
2010-08-31,GETINGE_5_min,short,145.982762,149.3693595,139.20956700000002,145.785622,eod,1.0,304.81924950943437,60.09206684829561,53.36197190487627,6.7300949434193384,103236.74092899587
2010-09-02,GETINGE_5_min,long,152.192698,148.6089597857143,159.36017442857144,151.896986,eod,1.0,288.06998378806594,-85.18575104593911,52.55946620399885,-137.74521724993798,103098.99571174594
2010-09-07,GETINGE_5_min,short,155.741232,159.2193592142857,148.78497757142858,156.036943,eod,1.0,296.4210029129688,-87.65495119240029,55.45055959192505,-143.10551078432533,102955.89020096161
2010-09-08,GETINGE_5_min,long,156.135514,152.65034607142857,163.10584985714286,159.585478,eod,1.0,295.4115621142057,1019.1592544777719,55.96057886337998,963.198675614392,103919.088876576
2010-09-13,GETINGE_5_min,short,161.261174,164.77450492857145,154.23451214285714,160.1769,eod,1.0,295.7850854056348,320.71207769311576,57.04595290242765,263.6661247906881,104182.75500136669
2010-09-16,GETINGE_5_min,long,163.626864,160.40220364285716,170.07618471428572,162.345449,eod,1.0,323.08132783843257,-414.0012597120882,63.18934063356309,-477.1906003456513,103705.56440102104
2010-09-17,GETINGE_5_min,short,163.232582,166.43612014285716,156.8255057142857,160.768322,eod,1.0,323.7219592101646,797.7350752032388,62.931724457246666,734.8033507459921,104440.36775176703
2010-09-20,GETINGE_5_min,short,159.092626,162.35953085714286,152.55881628571427,160.866893,eod,1.0,319.6921009909896,-567.2191449489831,61.37311851670587,-628.5922634656889,103811.77548830134
2010-09-28,GETINGE_5_min,short,158.106922,161.25413414285714,151.8124977142857,157.219788,eod,1.0,329.85312325993254,292.62392065007805,62.406900084467395,230.21702056561065,104041.99250886696
2010-09-29,GETINGE_5_min,short,157.71264,160.88801507142855,151.36188985714287,153.671254,eod,1.0,327.65260849030904,1324.1706648162124,61.21544706658193,1262.9552177496305,105304.94772661659
2010-09-30,GETINGE_5_min,short,153.079831,156.47346907142858,146.29255485714287,156.47346907142858,stop,1.0,310.3010560059162,-1053.049477266166,57.63282954136833,-1110.6823068075344,104194.26541980906
2010-10-05,GETINGE_5_min,short,150.024149,153.74870199999998,142.57504300000002,153.74870199999998,stop,1.0,279.74971874426126,-1041.9426541980906,50.98822177763542,-1092.930875975726,103101.33454383333
2010-10-06,GETINGE_5_min,long,155.24838,151.34780835714287,163.04952328571426,154.361246,eod,1.0,264.32365300259585,-234.4904995828057,49.10228840945248,-283.5927879922582,102817.74175584108
2010-10-12,GETINGE_5_min,short,150.517001,154.516143,142.51871699999998,153.966965,eod,1.0,257.09950223283124,-886.9840271211859,46.96960565788698,-933.9536327790729,101883.78812306201
2010-10-13,GETINGE_5_min,short,154.164106,158.25477764285714,145.98276271428574,152.586979,eod,1.0,249.0637162260749,392.80511158047835,45.84033911188835,346.96477246859,102230.7528955306
2010-10-14,GETINGE_5_min,short,153.474113,157.56478464285712,145.29276971428573,151.206994,eod,1.0,249.9119015676543,566.5800203701538,45.68606089326476,520.893959476889,102751.6468550075
2010-10-19,GETINGE_5_min,short,152.68555,156.5297957142857,144.9970585714286,144.9970585714286,take_profit,1.0,267.28688666587914,2055.03293710015,47.73999459578081,2007.292942504369,104758.93979751186
2010-10-20,GETINGE_5_min,short,145.48991,149.7495595,136.97061100000002,146.179903,eod,1.0,245.9332388674514,-169.6922132858662,43.03878107457232,-212.7309943604385,104546.20880315143
2010-10-21,GETINGE_5_min,short,145.588481,149.65803042857144,137.44938214285713,144.602777,eod,1.0,256.8987320049608,253.22610773221743,44.729859731474654,208.49624800074278,104754.70505115217
2010-10-27,GETINGE_5_min,short,141.448524,145.1801177142857,133.98533657142858,142.039946,eod,1.0,280.72376864104575,-166.02621269722297,47.74917099881041,-213.77538369603337,104540.92966745613
2010-11-03,GETINGE_5_min,short,143.617073,147.07407771428572,136.70306357142857,143.124221,eod,1.0,302.4032025049069,149.04002316094812,52.02689135760063,97.01313180334749,104637.94279925949
2010-11-29,GETINGE_5_min,short,146.081333,148.2569225714286,141.73015385714282,144.405636,eod,1.0,480.96361636147014,805.9492890460731,83.82819786967335,722.1210911763998,105360.0638904359
2010-11-30,GETINGE_5_min,long,145.095629,142.80738757142856,149.67211185714288,145.687051,eod,1.0,460.44120421424554,272.3150578787949,80.33299640630737,191.98206147248754,105552.04595190838
2010-12-10,GETINGE_5_min,short,142.138517,144.44084,137.533871,142.335658,eod,1.0,458.45889543694926,-90.38104510533002,78.25182963050244,-168.63287473583244,105383.41307717255
2010-12-13,GETINGE_5_min,long,142.138517,139.82915321428572,146.75724457142857,141.054242,eod,1.0,456.3309329135325,-494.7882222848293,77.5377695452963,-572.3259918301256,104811.08708534243
2010-12-16,GETINGE_5_min,short,137.111426,139.78690842857142,131.76046114285714,137.604278,eod,1.0,391.74649762624773,-193.07304484809111,64.57134893095737,-257.64439377904847,104553.44269156338
2010-12-22,GETINGE_5_min,long,138.294271,135.6751145,143.532584,137.012856,eod,1.0,399.18745860189443,-511.52479726435047,65.9394914172714,-577.4642886816218,103975.97840288177
2011-01-07,GETINGE_5_min,short,142.92708,145.4617475,137.85774499999997,141.349954,eod,1.0,410.215455884771,646.9614610777223,69.96889985992833,576.992561217794,104552.97096409956
2011-01-12,GETINGE_5_min,long,151.404134,148.43998128571428,157.33243942857143,153.769824,eod,1.0,352.7246435725363,834.4371620531136,64.5854253379021,769.8517367152116,105322.82270081477
2011-01-13,GETINGE_5_min,short,154.262676,157.44509178571428,147.89784442857143,155.642662,eod,1.0,330.9524266866826,-456.7097154936492,61.53835419255395,-518.2480696862032,104804.57463112856
2011-01-31,GETINGE_5_min,long,155.051239,151.48862300000002,162.176471,154.755528,eod,1.0,294.1787007949463,-86.9918777907777,54.683131328125576,-141.6750091189033,104662.89962200966
2011-02-18,GETINGE_5_min,short,144.307066,147.09520007142856,138.73079785714285,144.898488,eod,1.0,375.38689654326026,-222.01206912740594,65.13838522748055,-287.1504543548865,104375.74916765478
2011-02-21,GETINGE_5_min,long,144.602777,141.85688742857144,150.09455614285713,145.48991,eod,1.0,380.1163391772989,337.2137483233769,66.16138212272762,271.05236620064926,104646.80153385543
2011-02-22,GETINGE_5_min,short,144.109925,146.84173314285715,138.6463087142857,145.588481,eod,1.0,383.0679025079971,-566.3873456606132,66.58449644779809,-632.9718421084112,104013.82969174701
2011-02-23,GETINGE_5_min,short,144.799918,147.37682985714287,139.64609428571424,146.475614,eod,1.0,403.63751442810815,-676.3737683771296,70.54183905012292,-746.9156074272526,103266.91408431977
2011-03-02,GETINGE_5_min,short,149.925578,152.98830107142857,143.80013185714287,148.644163,eod,1.0,337.1735272041829,432.0592153623513,60.40188761364559,371.6573277487057,103638.57141206847
2011-03-08,GETINGE_5_min,long,154.164106,150.88311978571429,160.72607842857144,153.375542,eod,1.0,315.87627817763,-249.08866142486718,58.286687641379054,-307.37534906624626,103331.19606300222
2011-03-11,GETINGE_5_min,short,149.827008,152.9390165,143.602991,150.22129,eod,1.0,332.04021153220555,-130.9174786833424,59.77686020267894,-190.69433888602134,103140.5017241162
2011-03-16,GETINGE_5_min,long,143.912784,140.17414935714285,151.39005328571426,142.039946,eod,1.0,275.8774568174821,-516.6737844711399,47.33274715344965,-564.0065316245896,102576.49519249161
2011-03-18,GETINGE_5_min,short,142.335658,146.02500742857143,134.95695914285713,146.02500742857143,stop,1.0,278.03410107513366,-1025.7649519249162,48.10445903871612,-1073.8694109636324,101502.62578152798
2011-03-24,GETINGE_5_min,long,149.038445,145.2364437142857,156.64244757142856,150.122719,eod,1.0,266.97157142717447,289.4703336376264,47.92051563783759,241.54981799978884,101744.17559952778
2011-03-30,GETINGE_5_min,long,155.741232,151.9603529285714,163.30299014285717,154.459817,eod,1.0,269.10190375669504,-344.831216002388,50.0854156999343,-394.91663170232226,101349.25896782546
2011-04-01,GETINGE_5_min,short,154.755528,158.43079585714287,147.40499228571426,154.361246,eod,1.0,275.7601973713386,108.72728213996724,51.14526156541888,57.582020574548366,101406.84098840001
2011-04-11,GETINGE_5_min,long,157.515499,154.93858692857143,162.66932314285717,156.036943,eod,1.0,393.5207650767161,-581.842488328768,74.03363812050759,-655.8761264492756,100750.96486195074
2011-04-19,GETINGE_5_min,short,157.121218,159.7755782142857,151.8124975714286,158.008351,eod,1.0,379.5677930964738,-336.72711499305626,71.76782102686377,-408.49493601992003,100342.46992593081
2011-04-27,GETINGE_5_min,long,160.571182,157.9872292142857,165.7390875714286,157.9872292142857,stop,1.0,388.32934750466944,-1003.424699259308,74.22334798138064,-1077.6480472406886,99264.82187869013
2011-04-28,GETINGE_5_min,short,154.558387,157.48029542857145,148.71457014285713,155.051239,eod,1.0,339.725984935202,-167.4346311272839,63.109461082961715,-230.5440922102456,99034.27778647988
2011-05-06,GETINGE_5_min,short,160.669752,164.0774717142857,153.85431257142855,164.0774717142857,stop,1.0,290.61743948985,-990.3427778647989,56.62632398236992,-1046.9691018471688,97987.30868463272
2011-05-11,GETINGE_5_min,long,167.56968,163.98594171428573,174.73715657142856,169.146806,eod,1.0,273.42205505138566,431.2210319949697,55.23942814308067,375.981603851889,98363.29028848461
2011-05-16,GETINGE_5_min,short,169.146806,172.63197385714287,162.17647028571426,170.921074,eod,1.0,282.23401087235595,-500.75877400247504,57.58723304475542,-558.3460070472305,97804.94428143738
2011-05-23,GETINGE_5_min,short,170.13251,172.94176657142856,164.51399685714287,168.358243,eod,1.0,348.15240899018926,617.7153302417993,70.70782264671186,547.0075075950874,98351.95178903246
2011-05-25,GETINGE_5_min,long,167.372539,164.330938,173.45574099999996,168.456814,eod,1.0,323.3558635371073,350.6066789367033,65.15543426425381,285.4512446724495,98637.40303370492
2011-05-31,GETINGE_5_min,long,169.048236,166.4642832857143,174.21614142857143,169.738229,eod,1.0,381.73068140285756,263.3914980531969,77.59511288070921,185.7963851724877,98823.19941887741
2011-06-03,GETINGE_5_min,short,167.766821,170.3296515,162.64115999999996,166.879687,eod,1.0,385.60177670305046,342.0804465736852,77.42417283136294,264.65627374232224,99087.85569261973
2011-06-07,GETINGE_5_min,short,165.696842,168.37232442857143,160.34587714285715,167.372539,eod,1.0,370.3550979608849,-620.6029265877555,74.01236593681577,-694.6152925245713,98393.24040009516
2011-06-09,GETINGE_5_min,long,164.908279,162.10606328571427,170.51271042857144,166.583976,eod,1.0,351.1265742265504,588.3817470517126,69.83744392847044,518.5443031232422,98911.7847032184
2011-06-17,GETINGE_5_min,short,159.191196,162.29616364285715,152.98126071428567,162.29616364285715,stop,1.0,318.55979217935015,-989.117847032184,61.44776788566994,-1050.565614917854,97861.21908830055
2011-06-27,GETINGE_5_min,long,159.191196,155.64266164285712,166.28826471428573,160.866893,eod,1.0,275.7792633212498,462.12248420963215,52.959230402656196,409.16325380697594,98270.38234210754
2011-06-28,GETINGE_5_min,short,161.458315,165.01389014285715,154.3471647142857,161.458315,eod,1.0,276.38392775786053,0.0,53.54937992263906,-53.54937992263906,98216.8329621849
2011-07-01,GETINGE_5_min,short,166.189694,169.639658,159.28976600000001,162.049738,eod,1.0,284.68944302660856,1178.6017677946697,56.067780645270204,1122.5339871493995,99339.36694933429
2011-07-04,GETINGE_5_min,long,163.331153,159.662926,170.667607,163.429723,eod,1.0,270.81030413148983,26.693771678239642,53.094127324699215,-26.400355646459573,99312.96659368783
